Termin;Wochentag;Verband;Saison;Meisterschaft;Altersklasse;Liga;Staffel;Runde;BegegnungNr;HalleNr;HalleName;HalleStrasse;HallePLZ;HalleOrt;HeimVereinVerband;HeimVereinNr;HeimVereinName;HeimMannschaftAltersklasse;HeimMannschaftNr;GastVereinVerband;GastVereinNr;GastVereinName;GastMannschaftAltersklasse;GastMannschaftNr;SpieleHeim;SpieleGast
18.10.2014 19:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Bezirksklasse;Bezirksklasse Herren;VR;19;1;Sporthalle Althengstett;Jahnstrasse;75382;Althengstett;TTVWH;12003;TTF Althengstett;Herren;1;TTVWH;12015;SF Gechingen;Herren;1;9;5
25.10.2014 15:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Kreisklasse B;Kreisklasse B Calw Herren;VR;20;1;Sporthalle;Beim Wasserturm/Sportanlagen;75391;Gechingen;TTVWH;12015;SF Gechingen;Herren;2;TTVWH;12009;SF Emmingen e.V.;Herren;1;9;6
25.10.2014 18:10;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Kreisklasse C;Kreisklasse C Calw Herren;VR;22;1;Sporthalle;Beim Wasserturm/Sportanlagen;75391;Gechingen;TTVWH;12015;SF Gechingen;Herren;3;TTVWH;12009;SF Emmingen e.V.;Herren;2;4;9
25.10.2014 19:30;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Bezirksklasse;Bezirksklasse Herren;VR;23;1;Alte Turnhalle;Mörikestr.;75323;Bad Wildbad-Calmbach;TTVWH;12007;TV Calmbach;Herren;2;TTVWH;12015;SF Gechingen;Herren;1;9;4
26.10.2014 20:00;So.;TTVWH;Pokal 2014/15;Bezirk Schwarzwald Pokal 2014/15 Pokal;Herren;Herren Kreispokal B;Kreispokal Herren B Calw;Pokal;22;;;;;;TTVWH;12036;WSV Schömberg;Herren;2;TTVWH;12015;SF Gechingen;Herren;2;4;0
26.10.2014 20:00;So.;TTVWH;Pokal 2014/15;Bezirk Schwarzwald Pokal 2014/15 Pokal;Jungen U18;Jungen Kreispokal A;Kreispokal Jungen A Calw;Pokal;204;;;;;;TTVWH;12015;SF Gechingen;Jungen U18;2;nu;0;spielfrei;Herren;1;0;0
01.11.2014 11:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Jungen U18;Jungen Bezirksklasse;Bezirksklasse Jungen;VR;12;1;Sporthalle;Beim Wasserturm/Sportanlagen;75391;Gechingen;TTVWH;12015;SF Gechingen;Jungen U18;1;TTVWH;12034;TTC Ottenbronn;Jungen U18;1;3;6
01.11.2014 12:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Damen;Damen Bezirksklasse;Damen Bezirksklasse;VR;11;;;;;;TTVWH;12020;TSV Hirsau;Damen;1;TTVWH;12015;SF Gechingen;Damen;1;0;8
01.11.2014 16:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Kreisklasse B;Kreisklasse B Calw Herren;VR;25;1;Sporthalle;Beim Wasserturm/Sportanlagen;75391;Gechingen;TTVWH;12015;SF Gechingen;Herren;2;TTVWH;12041;TTG Unterreichenbach-Dennjächt;Herren;3;8;8
01.11.2014 19:05;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Kreisklasse C;Kreisklasse C Calw Herren;VR;28;1;Sporthalle;Beim Wasserturm/Sportanlagen;75391;Gechingen;TTVWH;12015;SF Gechingen;Herren;3;TTVWH;12001;TT Altburg;Herren;3;7;9
